REF_DATE,GEO,DGUID,Estimate,North American Industry Classification System (NAICS),UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2012-10,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,903.25,A,,,2
2012-11,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,904.19,A,,,2
2012-12,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,903.65,A,,,2
2013-01,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,901.05,A,,,2
2013-02,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,905.59,A,,,2
2013-03,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,903.42,A,,,2
2013-04,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,904.86,A,,,2
2013-05,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,913.11,A,,,2
2013-06,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,910.61,A,,,2
2013-07,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,909.81,A,,,2
2013-08,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,911.67,A,,,2
2013-09,Canada,2021A000011124,Average weekly earnings including overtime for all employees,Industrial aggregate excluding unclassified businesses [11-91N],Dollars,81,units,0,v79311153,1.2.2,912.88,A,,,2
